"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This will create new product","SUCCESS","2023-01-10T20:56:59.019Z[Europe/London]","0.0","5.34"
"Product CRUD test","Getting the product information with id:","SUCCESS","2023-01-10T20:57:04.402Z[Europe/London]","0.0","0.11"
"Product CRUD test","Updating product information and verify the updated information","SUCCESS","2023-01-10T20:57:04.511Z[Europe/London]","0.0","0.1"
"Product CRUD test","Deleting product with id and verify that user is deleted","SUCCESS","2023-01-10T20:57:04.613Z[Europe/London]","0.0","0.07"
"Product data driven test","Creating multiple products with Data driven","FAILURE","2023-01-10T20:57:07.976Z[Europe/London]","0.0","13.77"
"Store CRUD test","This will create new  store","SUCCESS","2023-01-10T20:57:08.290Z[Europe/London]","0.0","0.08"
"Store CRUD test","Getting the store information with Name:","SUCCESS","2023-01-10T20:57:08.368Z[Europe/London]","0.0","0.03"
"Store CRUD test","Updating store information and verify the updated information","SUCCESS","2023-01-10T20:57:08.401Z[Europe/London]","0.0","0.05"
"Store CRUD test","Deleting store with id and verify that user is deleted","SUCCESS","2023-01-10T20:57:08.456Z[Europe/London]","0.0","0.06"
"Testing a different request on product","As a user I want to create product","SUCCESS","2023-01-10T20:57:08.644Z[Europe/London]","0.0","0.25"
"Testing a different request on product","As a user I want to get created product with productId","SUCCESS","2023-01-10T20:57:09.001Z[Europe/London]","0.0","0.04"
"Testing a different request on product","As a user I want to update the product with productId","SUCCESS","2023-01-10T20:57:09.088Z[Europe/London]","0.0","0.05"
"Testing a different request on product","As a user I want to delete the product","SUCCESS","2023-01-10T20:57:09.232Z[Europe/London]","0.0","0.06"
"Product Application","CRUD Test","SUCCESS","2023-01-10T20:57:09.355Z[Europe/London]","0.0","0.17"
"Testing a different request on store","As a user I want to create store","SUCCESS","2023-01-10T20:57:09.630Z[Europe/London]","0.0","0.07"
"Testing a different request on store","As a user I want to get created product with productId","SUCCESS","2023-01-10T20:57:09.788Z[Europe/London]","0.0","0.06"
"Testing a different request on store","As a user I want to update the product with productId","SUCCESS","2023-01-10T20:57:09.953Z[Europe/London]","0.0","0.08"
"Testing a different request on store","As a user I want to delete the product","SUCCESS","2023-01-10T20:57:10.129Z[Europe/London]","0.0","0.07"
"Store Application","CRUD Test","SUCCESS","2023-01-10T20:57:10.354Z[Europe/London]","0.0","0.18"
